# path	tipo	sha256-origen	motivo
.gitignore	tracked-overlay	f6820b4b050f2b84d31af16075919ae7044595787d3a394ac5699eef2498b368	reglas de runtime del bridge
README.md	tracked-overlay	b27517447acdff5b96ec1cd69473c93e2186682300cb20fba1fad7e3c05be897	baseline funcional/documentación recibida
client/src/pages/AnalyticsPage.tsx	tracked-overlay	34ed6082f21280ed61c8778c41fab6683731deba1a7adaedbbbccbec2b6f8141	cambio local recibido
client/src/pages/FallbackPage.tsx	tracked-overlay	52d8e89354a4fd8dd6f54c07544293daee49247a10ba87e7ea07d7a5a63100d2	cambio local recibido
client/src/pages/KeysPage.tsx	tracked-overlay	c363b29a64a4fe3f3d88b8cc480217b9940374fe72c0ae404748822abab40e93	cambio local recibido
package-lock.json	tracked-overlay	3b359f91ee8b8d060210c954e4550cea8d98656bd292e26b1aef4ca06694a580	lock recibido; regenerado para @gloryapi
server/src/__tests__/db/idempotency.test.ts	tracked-overlay	2a9728e04f33b64563ec349926872b317a30ebdece2693fcc635328d6d652fb465	test de migraciones recibido
server/src/__tests__/integration/full-flow.test.ts	tracked-overlay	4bccdbb4377ed63be55b6e72bef4220417080bed332573821618c8f640c06be3	test de integración recibido
server/src/__tests__/providers/google-schema.test.ts	tracked-overlay	095cdcc09595452bc54fb2cca6cecddba5e997ebb751d62e6e091311617eb440	test de contrato recibido
server/src/__tests__/providers/google.test.ts	tracked-overlay	1db716bb641c9a010e8b7fb362bf95577ff137c154ef75d57f409d1e74b8b9f3	test de proveedor recibido
server/src/__tests__/providers/openai-compat.test.ts	tracked-overlay	64f0934760241ca75e9edd6f3cb65ab1e58990b9dff4ed16b210a315b8ef2dae	test de proveedor recibido
server/src/__tests__/routes/proxy-array-content.test.ts	tracked-overlay	7aee72c6342132a7c955747a25020693b2ae8040a329f6a12c659a1227670304	regresión de contenido recibido
server/src/__tests__/routes/proxy-auto-model.test.ts	tracked-overlay	fcd83f492a398f7b7aed09206a6160b8cf5e00e18c206e307cace868084f870b	regresión de routing recibido
